City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,9.62,91,96,1.88,NZ,1713243952
1,buckie,57.6757,-2.9624,6.14,85,96,10.21,GB,1713243952
2,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,94,75,4.0,RU,1713243816
3,ushuaia,-54.8,-68.3,7.6,91,66,1.34,AR,1713243800
4,mitsamiouli,-11.3847,43.2844,28.29,76,100,2.42,KM,1713243953
5,tiksi,71.6872,128.8694,-1.64,80,100,6.98,RU,1713243953
6,waddan,29.1614,16.139,26.0,21,59,6.43,LY,1713243954
7,bethel,41.3712,-73.414,13.17,46,20,0.45,US,1713243954
8,adamstown,-25.066,-130.1015,22.2,67,70,9.85,PN,1713243955
9,ribeira grande,38.5167,-28.7,15.43,93,100,1.79,PT,1713243955
10,puerto ayora,-0.7393,-90.3518,24.45,89,80,2.74,EC,1713243955
11,akureyri,65.6835,-18.0878,-8.41,95,92,1.75,IS,1713243932
12,iqaluit,63.7506,-68.5145,-15.2,80,84,3.91,CA,1713243956
13,port-aux-francais,-49.35,70.2167,3.9,64,92,15.35,TF,1713243956
14,isafjordur,66.0755,-23.124,-3.39,87,100,2.02,IS,1713243957
15,puerto natales,-51.7236,-72.4875,7.33,88,99,1.08,CL,1713243957
16,mundri,-6.9558,111.71,31.39,65,31,2.33,ID,1713243957
17,waitangi,-43.9535,-176.5597,11.57,78,97,0.45,NZ,1713243958
18,vorkuta,67.5,64.0,-1.61,95,100,6.71,RU,1713243958
19,aras-asan,8.8908,126.3033,29.51,71,24,4.12,PH,1713243959
20,bilibino,68.0546,166.4372,-14.93,78,100,1.5,RU,1713243959
21,isiro,2.7739,27.616,20.1,98,100,0.75,CD,1713243960
22,ilulissat,69.2167,-51.1,-10.99,62,3,1.54,GL,1713243961
23,edinburgh of the seven seas,-37.0676,-12.3116,15.65,75,100,12.21,SH,1713243961
24,argostolion,38.1811,20.489,19.3,39,100,3.83,GR,1713243962
25,maragogi,-9.0122,-35.2225,25.64,89,100,1.71,BR,1713243962
26,porto novo,6.4965,2.6036,28.19,81,98,2.25,BJ,1713243963
27,arauca,7.0847,-70.7591,28.98,61,0,1.69,CO,1713243963
28,port elizabeth,-33.918,25.5701,18.39,98,8,1.34,ZA,1713243964
29,ancud,-41.8697,-73.8203,12.72,89,100,4.92,CL,1713243964
30,utrik,11.2278,169.8474,27.24,83,54,7.97,MH,1713243964
31,togur,58.3631,82.8265,-4.92,80,3,4.02,RU,1713243965
